rewire_id,text,label_sexist,label_category,label_vector,split,token,target,keyword
sexism2022_english-17573,#USA #Texas #Islam #Muslims #Islamization #ShariaLaw Sharia in Texas - Evil Muslim parents tried to murder their daughter with boiling oil after refusing arranged marriage [URL],not sexist,none,none,test,,,
sexism2022_english-14820,"No diff in Australia, I know a ww2 vet even with a letter from his former C.O. stating that he was one of his diggers in New Guinea fighting the Japs he was told by DVA he never served & got nothing.",not sexist,none,none,train,,,
sexism2022_english-1301,By pressing show less you have automatically be been registered for incel 'facts' directly to your inbox daily! We apologise for this feature.,not sexist,none,none,train,,,
sexism2022_english-10268,"Yes, normal women want to be dominated. Social scientists call it female hypergamy. And it is why women make bad bosses for men, generally speaking.",sexist,2. derogation,2.1 descriptive attacks,test,"normal women want to be dominated, Social scientists call it female hypergamy",normal women, female hypergamy
sexism2022_english-13788,You would sue your own mom over burnt toast. Stay classy beta.,not sexist,none,none,train,,,
sexism2022_english-10788,What URGENCY? Galloway tears into muz fanatic [USER] as London murder rate overtakes New York: [URL],not sexist,none,none,train,,,
sexism2022_english-12319,"Not going to lie, the brutal honesty of this reply got me rolling haha ""I might go over and smash but I’ll have to tell her to stfu or put a sock in her mouth"" lmao, godspeed brother",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,train,I’ll have to tell her to stfu or put a sock in her mouth,her," stfu, put a sock in her mouth, lmao"
sexism2022_english-4990,A blackpilled man can only be pleasently surprised.,not sexist,none,none,train,,,
sexism2022_english-5581,"Please.... take my wife, rape my daughter!! But whatever you do, leave the j00s alone!!! - cuckolded ""conservatives""",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"take my wife, rape my daughter, j00s , cuckolded","j00s, conservatives"," rape, j00s , cuckolded"
sexism2022_english-10735,"She didn't have to be a bitch about it. She literally went out of her way to rub the rejection in his face, when a simple ""I appriciate the offer but I have a boyfriend"" would have sufficed.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,She didn't have to be a bitch about it,she,bitch
sexism2022_english-16161,This type of lawsuit could end up with Warren having to prove IF she is part Indian through DNA tests... and I fucking love it! [URL] Take her down Ayyadurai!,not sexist,none,none,dev,,,
sexism2022_english-2771,Pink is very feminine so I accept this bikini babe :) You've paid your dues :),sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,train,_,_,
sexism2022_english-11664,That’s beta. It shows you are desperate to confirm their number as you have few options. You drop a few points with women doing that. A guy with options doesn’t give a shit if the number is real or not as he has several other numbers that are real,not sexist,none,none,train,,,
sexism2022_english-988,TL:DR unclear covered her in shit and now she is calling the police...,not sexist,none,none,test,,,
sexism2022_english-5308,[USER] 'Tis true as the puff and pass lead to the munchies and philosophy.,not sexist,none,none,test,,,
sexism2022_english-6081,Spanner girl like a spanner wrench? So u load the missiles n stuff on the planes huh. *salutes* Hope they don't start any more illegal wars for oil and drugs and imperial New World Order conquest. Mabe u can just blow up ISIS and be done with it.,not sexist,none,none,train,,,
sexism2022_english-8429,Do yourself a favor and soft next this woman. She will only keep you down. She should make your life better not the other way around. Bad behavior and being a loser is contagious (as is divorce). DO NOT MARRY OR HAVE CHILDREN WITH THIS WOMAN!,not sexist,none,none,train,,,
sexism2022_english-19849,"Yes. Especially these days, it takes a lot to make a man beat a woman. Dont buy into her bullshit. She probably deserve. At least hear the version of the guy. I would make an exception if it was a severe beating.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"make a man beat a woman, Dont buy into her bullshit",he,
sexism2022_english-17938,Put a fork in Muslim-England she's done for and there is no saving it from going full Islamic Sharia Law. What a millennium for England from being the greatest empire in the world to being evil Islam's British child rapping and acid throwing bitch.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,"Put a fork in Muslim-England,  evil Islam's British, child rapping and acid throwing bitch.",Muslim-England,bitch
sexism2022_english-9987,"The she-god mentality of women is going down the drain. Men make the world work and, yet, we bow to the bitches for occasional birthday present pussy. Sexbots will be realistic very soon and women's days of pussy rule will be over. &#x200B;",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,"we bow to the bitches for occasional birthday present pussy, women's days of pussy rule will be over",women," bitches, pussy"
sexism2022_english-19850,"LOL, a Canadian guy legally changed his gender to female so that he would save $1000 a year on car insurance. A female lawmaker is outraged and is demanding he be arrested for perjury bc he said he did it just for the insurance savings. HA HA HA HA!",not sexist,none,none,test,,,
sexism2022_english-15676,aim for the head so she dosn't come back,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,dev,aim for the head,_,
sexism2022_english-17280,You are an idiot. Read the whole book.,not sexist,none,none,test,,,
sexism2022_english-2077,As a Jew. I can confirm I rape girls every night in the alleys Just kidding. You're a fucking moron rofl,not sexist,none,none,train,,,
sexism2022_english-7290,"The Mediterranean countries are fucking hellholes. I have heard from some expats that dating in Central Europe (France, Germany etc.) is easier and that women do approach men. Here they never approach, even chad need work hard to get pussy",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,train,"The Mediterranean countries are fucking hellholes, need work hard to get pussy",The Mediterranean countries,"fucking hellholes, pussy"
sexism2022_english-19501,Just fucking lol. What does she know about a hard life being subhuman. Dumb whore,sexist,2. derogation,2.2 aggressive and emotive attacks,test,"Just fucking lol, Dumb whore",she,"fucking, Dumb whore"
sexism2022_english-18152,"Weev your mom says you've got internet addiction. Put down the memes dude, we care about you.",not sexist,none,none,train,,,
sexism2022_english-16366,"Hahaha, why didnt you say that to my face you little bitch? How surprisingly feminine of you to talk shit behind my back little boy. Afraid of confrontation? You'll never be the man your mother is.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,How surprisingly feminine of you,you,"bitch, shit"
sexism2022_english-11801,"WarrnTanka is so butthurt over her DNA FUBAR, she is seeing RED. Yep! It's right there at the front door LIZZY. BTW! Give the ticket money back.",not sexist,none,none,test,,,
sexism2022_english-12731,"ya I thought so, everything you said she basically said in the convo.",not sexist,none,none,train,,,
sexism2022_english-17692,That's a roundabout way of saying you pulled 84% out of your ass.,not sexist,none,none,train,,,
sexism2022_english-12413,Remember when the German lady was kicked from behind down the stairs? Well here's the scum that did it [URL] #MEGA #SpeakFreely #GabFam,not sexist,none,none,train,,,
sexism2022_english-4858,“THE brother of Kevin Spacey claims the shamed Hollywood star is worse than their Nazi rapist father and also accuses him of having a creepy relationship with their mother” [URL],not sexist,none,none,dev,,,
sexism2022_english-15614,"Meanwhile, Jane Austen and the Bronte sisters had much less that Atwood, yet their heroines are stronger AND more interesting to read 3 centuries later. Why is that?... [URL]",not sexist,none,none,train,,,
sexism2022_english-9087,I would pay to see her Ass Cracker. #nsfw,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,I would pay to see her Ass Cracker.,her,Ass
sexism2022_english-18480,Again do u agree with me that a building is less likely to get blown up by a Hungarian than a Muslim?,not sexist,none,none,test,,,
sexism2022_english-12347,Miley moved to England and renounced her US citizenship as I remember...,not sexist,none,none,test,,,
sexism2022_english-18223,"You think Gen Z is going to be bad, just wait for the Millenial's kids to hit college age",not sexist,none,none,train,,,
sexism2022_english-17461,"Awesome stuff! You remained confident, this is really important. Mucho balls to you",not sexist,none,none,train,,,
sexism2022_english-17341,This is possible. But I'm not so sure. I got her number and she messaged me first a few hrs later. She waa definitely super in to me. But she's also got like 10k followers on IG so I always assumed someone was in her DMs and all that.,not sexist,none,none,train,,,
sexism2022_english-16455,"The address given on the forms is a mailing box, before anyone makes any doxxing accusations. I've never seen an internet marketer with an address to a physical office, always these mail dumps.",not sexist,none,none,train,,,
sexism2022_english-18714,I have some unwashed underwear she can sniff I am not sure if it is sarin but I am positive it is toxic and probably wmd.,not sexist,none,none,test,,,
sexism2022_english-6106,Wonder how ISIS is enjoying the US military now that Obama no longer has their hands tied behind their back? Happy Independence Day ISIS. From America with love. [URL] #MAGA,not sexist,none,none,train,,,
sexism2022_english-7608,"Some hard core women haters use mgtow as an excuse, not a lifestyle.",not sexist,none,none,train,,,
sexism2022_english-2964,I asked his dumbass why he fell for her. She has that gross cow-ring on her nose. Ugly af and he gets sexy bitches.,sexist,2. derogation,2.1 descriptive attacks,train,"She has that gross cow-ring on her nose, Ugly af and he gets sexy bitches.",She,"dumbass,  Ugly af, sexy bitches"
sexism2022_english-15184,"Yes, because she made a mistake,she SHOULD pay for it. It was her mistake not society's. I'm all for legit help for someone in need but people who fuck around, don't use protection and then expect to get bailed out can go screw",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,train,_,_,fuck around
sexism2022_english-12515,"I actually don't think there is anything wrong with the ad. She may have done extraordinarily, but that does not reflect poorly on men nor well upon women. It just means she is extraordinary, each sex has some extraordinary people.",not sexist,none,none,train,,,
sexism2022_english-13467,"if your daughter is socializing with blacks, and visiting black areas, and partying around blacks - then the fact she has a gun in her purse really isn't gonna help that much if a couple of the fellas decide they wanna have a little fun",not sexist,none,none,test,,,
sexism2022_english-9555,the first thing though is GETTING the girl to come to yours... thats the real challenge.,not sexist,none,none,train,,,
sexism2022_english-11888,"[USER] It isn't about #fraud. It is about delay, trying to monkey-wrench the electoral college. And getting #JillStein a payday, which is why she doesn't want to be required to cough up cash. #Recount2016",not sexist,none,none,test,,,
sexism2022_english-11816,They want it to be LGBTP.,not sexist,none,none,train,,,
sexism2022_english-19341,"hotter girls have higher bitch shields and shit test more, its called the hot-shit paradox lol",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,hotter girls have higher bitch shields and shit,girls,"bitch shields, shit"
sexism2022_english-3155,4-year-old girl came home from daycare with 2 capsules of crack cocaine [URL] [URL],not sexist,none,none,train,,,
sexism2022_english-3294,"[USER] --somebody said in a post anasef is on gab, i haven't seen any post from her on gab ?",not sexist,none,none,train,,,
sexism2022_english-19542,I saw an IT thread where they were saying we are all white men that only like asian women. They are just making up stuff,not sexist,none,none,test,,,
sexism2022_english-17584,If one of them young adult was a child if miune she or he wouldn't hear the last of my mouth.I would bless them out so.protests in to walk and hold a pole with something saying how you feel or think.we have enough of Snowflake.,not sexist,none,none,train,,,
sexism2022_english-11435,Because it was a political witch hunt to keep him out and it failed horribly,not sexist,none,none,train,,,
sexism2022_english-3048,I wish they'd thrown the commie race traitor bitch down & fucked her to death.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"they'd thrown the commie race traitor bitch down, fucked her to death",commie," bitch, fucked her"
sexism2022_english-18377,[USER] Is that Hitlery? looks like her hips and ass,sexist,2. derogation,2.2 aggressive and emotive attacks,train,"Hitlery, looks like her hips and ass",_,ass
sexism2022_english-13992,"Nope, nothing happened. She never filed a police report... she just ""confided"" in the right people and the rumor mill did the rest. A lot of politics in the military, and even rumors destroy people.",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,train,_,_,
sexism2022_english-16679,Yes he can only top men fuck non ugly women nowadays,not sexist,none,none,test,,,
sexism2022_english-14297,Yet they'll continue to have buff shirtless men who dehydrated and starve themselves in order to give the ladies their tingles,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,train,_,_,
sexism2022_english-16805,"She's Jezabel incarnate, the prefect catalyst for real revolution, that's what I'm saying! She's an actual witch , not kidding , like literally satanic .",sexist,2. derogation,2.2 aggressive and emotive attacks,train,_,_,"witch, satanic"
sexism2022_english-6746,"[USER] Yeah, but MY based sphere is well armed, trained and likes to kick ass and chew bubblegum..... [URL] #BananaForScale",not sexist,none,none,train,,,
sexism2022_english-704,"This guys gonna have a great time in the barracks. If they don't know who he is, they will the first time he takes a communal shower. Christ, the women Marines will even be giving him shit. Ooorah! Fuckin-A.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,dev,the women Marines will even be giving him shit,women,shit
sexism2022_english-1480,I dont sell my body for sex or even plasma. My sister would like to know your rates though. She needs a new sub/cuck while the other one she uses is in the hospital healing from an accident where his anus ended up mutilated.,not sexist,none,none,test,,,
sexism2022_english-13336,No. Please keep those burkas on. PLEASE!,not sexist,none,none,test,,,
sexism2022_english-474,"Just as well! The average Jewish mother would castrate any dirty old men in fancy dress coming down the chimney in the middle of the night to give candy to their prepubecent kids. In Israel, the kids would join in on the beat down.",not sexist,none,none,test,,,
sexism2022_english-11647,She may be worth what someone paid for her in terms of stimulating walking away.,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,She may be worth what someone paid for her,She,_
sexism2022_english-8721,"Yeah, well, plenty of men have been hit by women without ever being able to hit back, so I am not eager to cry a river.",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,train,men have been hit by women,women,
sexism2022_english-14287,"If you want to get back together with her the number 1 thing you can do is go on a few dates. What's the logic here? If her words are to be believed, we'd be 100% done if I did that.",not sexist,none,none,dev,,,
sexism2022_english-17434,"and the bank called. came here from reading how a former female model who made 45 mil pounds has now to couch surf, as her mansion is being collected by debt collectors :P",not sexist,none,none,train,,,
sexism2022_english-6886,The crooked Democrats are already screeching that it's sexist to have a woman doing it...just as they would have screeched that it was sexist to have a man do it. Because the goal is to prevent his confirmation by any means possible.,not sexist,none,none,train,,,
sexism2022_english-3957,You cant stay with someone who is falsely accusing you of violence in front of the police. Get out. If she contacts you get a reatraining order. This is a survival situation and you cant be in denial about that.,not sexist,none,none,train,,,
sexism2022_english-15193,The Iraqi army released photos of #ISIS militants who attempted to flee #Mosul disguised as women! One got through...,not sexist,none,none,dev,,,
sexism2022_english-616,SHITBRICKS?!,not sexist,none,none,train,,,
sexism2022_english-4747,What an amazing personality! I bet he watched a movie with female leads while posting to IT.,not sexist,none,none,test,,,
sexism2022_english-12817,This asshole has no idea what he's talking about. Kind of like Franken.,not sexist,none,none,train,,,
sexism2022_english-16425,"We already knew she won't say ""jew""; add ""commie"".",not sexist,none,none,train,,,
sexism2022_english-295,"Most men know instinctually the game. But their ego's are so fucking big that they think, Not mine, Not me. Bang bang she shot me down bang bang.",not sexist,none,none,test,,,
sexism2022_english-7250,"Rot in hell bitch. You are a disgrace to aunties, moms, and law abiding US citizens. You deserve to lose all that you’ve “gained” from your corrupt political practices.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,"Rot in hell bitch, ",You,bitch
sexism2022_english-5850,Yet another Islamist scumbag heard from... [URL],not sexist,none,none,test,,,
sexism2022_english-949,LOL that fat girl .... black men cant catch up to us so they are angry ..... sooo black men are angry because they are not marrying black women .... LOL bitch plz,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,"LOL that fat girl, LOL bitch plz,  black men cant catch up",,
sexism2022_english-11296,"If you don't want your mother fucked, keep her off the streets",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test, you don't want your mother fucked,mother,fucked
sexism2022_english-14100,I think she looks mad. ;),not sexist,none,none,dev,,,
sexism2022_english-1860,you don't praise women who act like cunts > >:( >must be an incel,sexist,2. derogation,2.2 aggressive and emotive attacks,train,women who act like cunts,women,cunts
sexism2022_english-8119,You mean those videos where a woman slaps a guy when she's fucked up? We see those everyday already.,not sexist,none,none,test,,,
sexism2022_english-7303,sounds like you’re still living in the 1950s. and maybe think about why women have to rest so much while pregnant maybe even ask your mother i’m sure she’d be disappointed,not sexist,none,none,train,,,
sexism2022_english-14556,Does that wolverine faggot ever stop talking? FFS! Have a wonderful day. : ),not sexist,none,none,train,,,
sexism2022_english-1387,"You should have said ""wtf dude you don't want me to tell your gf your smoking, your gf don't want me to tell you she's fucking your friends, it's getting to be too much for me to remember.""",not sexist,none,none,train,,,
sexism2022_english-16787,I just came across this as a ''normie'' I really thought the group was a joke or a huge troll job. I really hope those guys in that group get some help they need it.,not sexist,none,none,train,,,
sexism2022_english-15860,"When I don't like a girl, who is not 'right' for me: I give her a can of porks and beans, stick an apple in her mouth, and throw her out the door.",sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,train,stick an apple in her mouth,women,
sexism2022_english-15696,Or women can stop being lying whores.,sexist,2. derogation,2.1 descriptive attacks,dev,women can stop being lying whores,women,whore
sexism2022_english-18938,How the hell have they not arrested that maniac who ran a grieving mother down because she couldn't unload a property because of the location of the murder of two girls? Death penalty is all I'm saying.,not sexist,none,none,train,,,
sexism2022_english-4533,"It’s time for change .England and Europe, I have been trying to tell my daughter it’s “OK TO BE WHITE “ it’s OK TO WANT TO GO ON HOLIDAY WITHOUT THE FEAR SOMEONE FROM A SHITEHOLE COUNTRY SHOOTING YOU ! FFS PEOPLE WISE UP TO THIS !",not sexist,none,none,dev,,,
sexism2022_english-8476,Yet women in the developing world seemingly have the balls to go into STEM in vastly higher numbers than the daughters of first world feminism. Very strange....,sexist,3. animosity,3.3 backhanded gendered compliments,train,women in the developing world seemingly have the balls,women,balls
sexism2022_english-14374,"#EmpressMichelle just needs to pack her shit, #stfu and move to Venezuela. Thank you to all the #Libtards who gave us these two pieces of shit [URL]",not sexist,none,none,test,,,
sexism2022_english-3673,"Late teens are like the easiest girls to have sex with, why compicate shit?",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,"the easiest girls to have sex,",girls,shit
sexism2022_english-13224,"10/10 with interior decorating skills like yours, girls will be falling all over you. I'm falling for you a little myself",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,,,
sexism2022_english-10924,But first.... That bitch better get her ass in the kitchen and make me a sammich.,sexist,2. derogation,2.2 aggressive and emotive attacks,train,That bitch better get her ass in the kitchen,,"bitch, ass"
sexism2022_english-5771,[USER] This attack destroys Merkel. There is no way she isn't going to fiddle with the official narrative She is just like Obama with that shit,not sexist,none,none,train,,,
sexism2022_english-12662,"Get tough looking guy friends, then have them accompany you when you go to ask out girls. They'll never say no, because of the implication.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"They'll never say no, because of the implication",they,
